t = 1.5
             x             y          prec          calc          diff    n loc
  2.500000e+00  7.000000e+00  2.950000e+01  2.950000e+01  4.263256e-14   17 inner
  3.750000e+00  7.000000e+00  3.075000e+01  3.075000e+01  2.486900e-14   18 inner
  5.000000e+00  7.000000e+00  3.200000e+01  3.200000e+01  4.689582e-13   19 border
  0.000000e+00  8.000000e+00  2.700000e+01  2.700000e+01  7.105427e-15   20 border
  1.250000e+00  8.000000e+00  2.825000e+01  2.825000e+01  2.486900e-14   21 border
  2.500000e+00  8.000000e+00  2.950000e+01  2.950000e+01  4.263256e-14   22 border
  3.750000e+00  8.000000e+00  3.075000e+01  3.075000e+01  4.973799e-14   23 border
  5.000000e+00  8.000000e+00  3.200000e+01  3.200000e+01  1.776357e-14   24 border
t = 3.500000
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  4.287500e+01  4.287500e+01  2.131628e-14    0 border
  1.250000e+00  4.000000e+00  4.412500e+01  4.412500e+01  1.207923e-13    1 border
  2.500000e+00  4.000000e+00  4.537500e+01  4.537500e+01  4.263256e-14    2 border
  3.750000e+00  4.000000e+00  4.662500e+01  4.662500e+01  2.415845e-13    3 border
  5.000000e+00  4.000000e+00  4.787500e+01  4.787500e+01  1.421085e-14    4 border
  0.000000e+00  5.000000e+00  4.287500e+01  4.287500e+01  1.492140e-13    5 border
  1.250000e+00  5.000000e+00  4.412500e+01  4.412500e+01  2.842171e-14    6 inner
  2.500000e+00  5.000000e+00  4.537500e+01  4.537500e+01  6.394885e-14    7 inner
  3.750000e+00  5.000000e+00  4.662500e+01  4.662500e+01  8.526513e-14    8 inner
  5.000000e+00  5.000000e+00  4.787500e+01  4.787500e+01  2.771117e-13    9 border
  0.000000e+00  6.000000e+00  4.287500e+01  4.287500e+01  1.918465e-13   10 border
  1.250000e+00  6.000000e+00  4.412500e+01  4.412500e+01  0.000000e+00   11 inner
  2.500000e+00  6.000000e+00  4.537500e+01  4.537500e+01  3.552714e-14   12 inner
  3.750000e+00  6.000000e+00  4.662500e+01  4.662500e+01  2.842171e-14   13 inner
  5.000000e+00  6.000000e+00  4.787500e+01  4.787500e+01  1.918465e-13   14 border
  0.000000e+00  7.000000e+00  4.287500e+01  4.287500e+01  1.207923e-13   15 border
  1.250000e+00  7.000000e+00  4.412500e+01  4.412500e+01  9.237056e-14   16 inner
  2.500000e+00  7.000000e+00  4.537500e+01  4.537500e+01  1.207923e-13   17 inner
  3.750000e+00  7.000000e+00  4.662500e+01  4.662500e+01  9.237056e-14   18 inner
  5.000000e+00  7.000000e+00  4.787500e+01  4.787500e+01  3.836931e-13   19 border
  0.000000e+00  8.000000e+00  4.287500e+01  4.287500e+01  1.421085e-14   20 border
  1.250000e+00  8.000000e+00  4.412500e+01  4.412500e+01  3.055334e-13   21 border
  2.500000e+00  8.000000e+00  4.537500e+01  4.537500e+01  7.815970e-14   22 border
  3.750000e+00  8.000000e+00  4.662500e+01  4.662500e+01  2.060574e-13   23 border
